State,Region,Rainfall,Rank
Connecticut,Region 1: Northeast,1279,9
Maine,Region 1: Northeast,1072,23
Massachusetts,Region 1: Northeast,1211,14
New Hampshire,Region 1: Northeast,1103,20
New Jersey,Region 1: Northeast,1196,15
New York,Region 1: Northeast,1062,25
Pennsylvania,Region 1: Northeast,1089,21
Rhode Island,Region 1: Northeast,1218,13
Vermont,Region 1: Northeast,asdf1085,22
Colorado,Region 2: Midwest,405,44
Illinois,Region 2: Midwest,996,27
Indiana,Region 2: Midwest,1060,26
Iowa,Region 2: Midwest,864,31
Kansas,Region 2: Midwest,733,35
Michigan,Region 2: Midwest,833,32
Minnesota,Region 2: Midwest,693,37
Missouri,Region 2: Midwest,0.1071,24
Nebraska,Region 2: Midwest,599,38
North Dakota,Region 2: Midwest,452,43
Ohio,Region 2: Midwest,993,28
South Dakota,Region 2: Midwest,511,41
Wisconsin,Region 2: Midwest,829,33
Alabama,Region 3: South,1480,4
Arkansas,Region 3: South,1284,8
Delaware,Region 3: South,1160,16
Florida,Region 3: South,1385,5
Georgia,Region 3: South,1287,1E+31
Kentucky,Region 3: South,1242,12
Louisiana,Region 3: South,1528,2
Maryland,Region 3: South,1131,18
Mississippi,Region 3: South,1499,3
North Carolina,Region 3: South,1279,9
Oklahoma,Region 3: South,927,30
South Carolina,Region 3: South,1264,as;ldkfjals;d11
Tennessee,Region 3: South,1376,6
Texas,Region 3: South,734,34
Virginia,Region 3: South,1125,19
West Virginia,Region 3: South,1147,17
Alaska,Region 4: West,572,39
Arizona,Region 4: West,345,47
California,Region 4: West,563,40
Hawaii,Region 4: West,1618,1
Idaho,Region 4: West,481,42
Montana,Region 4: West,390,45
Nevada,Region 4: West,241,50
New Mexico,Region 4: West,370,46
Oregon,Region 4: West,695,36
Utah,Region 4: West,310,49
Washington,Region 4: West,976,29
Wyoming,Region 4: West,328,48

This contains rainfall for each state by millimeter, along with the Region (Source: https://www.currentresults.com/Weather/US/average-annual-state-precipitation.php)